epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.46739131212234497,3.515313148498535,1e-04,0.14328961074352264,3.9876322746276855
1,0.7573306560516357,2.73315691947937,1e-04,0.14328961074352264,3.945441722869873
2,0.8425176739692688,2.343069553375244,1e-04,0.152371346950531,3.8036820888519287
3,0.8791708946228027,2.1316978931427,1e-04,0.22704339027404785,3.6739463806152344
4,0.9041961431503296,1.9330527782440186,1e-04,0.5247225165367126,3.0244128704071045
5,0.9173407554626465,1.8110154867172241,1e-04,0.7497477531433105,2.2715346813201904
6,0.9466633200645447,1.6338210105895996,1e-04,0.8335015177726746,1.8938262462615967
7,0.9608190059661865,1.5096652507781982,1e-04,0.8314833641052246,1.8845943212509155
8,0.9577856659889221,1.4249266386032104,1e-04,0.9101917147636414,1.643765926361084
9,0.9550050497055054,1.3602864742279053,1e-04,0.9041372537612915,1.551255226135254
10,0.9701718688011169,1.244945764541626,1e-04,0.9303733706474304,1.3402321338653564
11,0.9676440954208374,1.1786342859268188,1e-04,0.9061554074287415,1.3134747743606567
12,0.9696663022041321,1.112265706062317,1e-04,0.9011099934577942,1.3363583087921143
13,0.9767441749572754,1.03258216381073,1e-04,0.916246235370636,1.3028080463409424
14,0.97826087474823,0.9751418232917786,1e-04,0.9202825427055359,1.169611930847168
15,0.9802831411361694,0.9091194868087769,1e-04,0.9323915243148804,1.0458450317382812
16,0.9812942147254944,0.8595166802406311,1e-04,0.9445005059242249,0.9595778584480286
17,0.9820525646209717,0.8024880290031433,1e-04,0.9354187846183777,0.9529279470443726
18,0.980030357837677,0.773184597492218,1e-04,0.9344096779823303,0.9316821694374084
19,0.9868553876876831,0.7051805853843689,1e-04,0.9293642640113831,0.9162412881851196
20,0.9805359244346619,0.6924159526824951,1e-04,0.907164454460144,0.9904638528823853
21,0.984580397605896,0.6453498005867004,1e-04,0.9122098684310913,0.9000799655914307
22,0.9812942147254944,0.6099400520324707,1e-04,0.9243188500404358,0.8377146124839783
23,0.9797775745391846,0.5803989171981812,1e-04,0.9263370037078857,0.7991828918457031
24,0.9815469980239868,0.5483618974685669,1e-04,0.914228081703186,0.7908310294151306
25,0.9817997813224792,0.5274972915649414,1e-04,0.9152371287345886,0.813904881477356
26,0.9863498210906982,0.47271817922592163,1e-04,0.9273461103439331,0.6957401633262634
27,0.9896360039710999,0.4374080300331116,1e-04,0.9334006309509277,0.6602686047554016
28,0.9850859642028809,0.4442823529243469,1e-04,0.9354187846183777,0.6786994934082031
29,0.9863498210906982,0.4069637358188629,1e-04,0.9192734360694885,0.6912774443626404
30,0.9868553876876831,0.38721486926078796,1e-04,0.9303733706474304,0.6758929491043091
31,0.9860970973968506,0.3817133605480194,1e-04,0.8799192905426025,0.9821507334709167
32,0.9903943538665771,0.351485013961792,2e-05,0.9374369382858276,0.5667999386787415
33,0.9916582703590393,0.33424112200737,2e-05,0.9374369382858276,0.5935452580451965
34,0.9957027435302734,0.32133352756500244,2e-05,0.9455096125602722,0.54718017578125
35,0.9967138767242432,0.3140585422515869,2e-05,0.9414732456207275,0.5503459572792053
36,0.9974721670150757,0.3112754225730896,2e-05,0.9424823522567749,0.5487474799156189
37,0.9977249503135681,0.3059006333351135,2e-05,0.9394550919532776,0.562280535697937
38,0.9977249503135681,0.29865017533302307,2e-05,0.9465186595916748,0.5493403077125549
39,0.9974721670150757,0.2993370592594147,4e-06,0.9465186595916748,0.5507283210754395
40,0.998230516910553,0.2953549027442932,4e-06,0.9465186595916748,0.5493561029434204
41,0.9979777336120605,0.2957197427749634,4e-06,0.9465186595916748,0.5447713136672974
42,0.9969666600227356,0.2964703440666199,4e-06,0.9455096125602722,0.5475064516067505
43,0.998230516910553,0.2935760021209717,4e-06,0.9465186595916748,0.5400052070617676
44,0.997219443321228,0.29574447870254517,4e-06,0.9485368132591248,0.5337314009666443
45,0.9979777336120605,0.29081088304519653,4e-06,0.9485368132591248,0.5348613262176514
46,0.9992416501045227,0.2878795564174652,4e-06,0.9455096125602722,0.5381558537483215
47,0.9987360835075378,0.2858020067214966,4e-06,0.9475277662277222,0.5359995365142822
48,0.998230516910553,0.28600597381591797,4e-06,0.9455096125602722,0.535814642906189
49,0.9987360835075378,0.28498587012290955,8e-07,0.9455096125602722,0.5351009368896484
50,0.9987360835075378,0.2856197655200958,8e-07,0.9465186595916748,0.5307759642601013
51,0.9977249503135681,0.2866102159023285,8e-07,0.9455096125602722,0.5327728986740112
52,0.9987360835075378,0.2843727767467499,8e-07,0.9485368132591248,0.5275944471359253
53,0.9989888668060303,0.28279271721839905,8e-07,0.9485368132591248,0.5270527601242065
54,0.9987360835075378,0.28435656428337097,8e-07,0.9485368132591248,0.531984269618988
55,0.9974721670150757,0.2876221835613251,8e-07,0.9475277662277222,0.5333138108253479
56,0.9987360835075378,0.28382691740989685,8e-07,0.9465186595916748,0.5357243418693542
57,0.9984833002090454,0.28608518838882446,8e-07,0.9485368132591248,0.5334684252738953
58,0.9974721670150757,0.284667432308197,1.6e-07,0.9465186595916748,0.5313164591789246
59,0.998230516910553,0.2829911410808563,1.6e-07,0.9465186595916748,0.5314128398895264
60,0.9992416501045227,0.2832244038581848,1.6e-07,0.9465186595916748,0.5326784253120422
61,0.9979777336120605,0.2840198874473572,1.6e-07,0.9475277662277222,0.5317754149436951
