epoch,accuracy,loss,val_accuracy,val_loss
0,0.6796875,0.6023324131965637,0.828125,0.4132268726825714
1,0.8423032164573669,0.3945053517818451,0.8984375,0.2602958381175995
2,0.9091435074806213,0.24926918745040894,0.9479166865348816,0.16331107914447784
3,0.9484953880310059,0.16306637227535248,0.9791666865348816,0.10977243632078171
4,0.9707754850387573,0.11583142727613449,0.9739583134651184,0.08932080119848251
5,0.9748263955116272,0.0998537689447403,0.96875,0.0919330045580864
6,0.9846643805503845,0.0759885162115097,0.9817708134651184,0.076186403632164
7,0.9872685074806213,0.06890051811933517,0.9739583134651184,0.09791184216737747
8,0.9892939925193787,0.06077946722507477,0.9895833134651184,0.06237247958779335
9,0.9936342835426331,0.05303279682993889,0.984375,0.0650475025177002
10,0.9945023059844971,0.04867042601108551,0.9869791865348816,0.06333287060260773
11,0.9962384104728699,0.04347376525402069,0.9869791865348816,0.05964621528983116
12,0.9968171119689941,0.03964269533753395,0.9869791865348816,0.05384182557463646
13,0.9968171119689941,0.03792952001094818,0.9869791865348816,0.061714693903923035
14,0.9982638955116272,0.03387533128261566,0.9895833134651184,0.04836687818169594
15,0.9979745149612427,0.032385483384132385,0.9921875,0.04943780228495598
16,0.9985532164573669,0.0315835177898407,0.9921875,0.04711294174194336
17,0.9991319179534912,0.02617938071489334,0.9895833134651184,0.04638123884797096
18,0.9991319179534912,0.025162501260638237,0.9895833134651184,0.047076549381017685
19,1.0,0.02336198464035988,0.9895833134651184,0.05292557552456856
20,1.0,0.021859489381313324,0.9895833134651184,0.043159231543540955
21,1.0,0.021051229909062386,0.9921875,0.039254140108823776
22,1.0,0.021115021780133247,0.9921875,0.03630482777953148
23,1.0,0.020043209195137024,0.984375,0.04140790179371834
24,1.0,0.018162624910473824,0.9973958134651184,0.031980887055397034
25,1.0,0.017283549532294273,0.9947916865348816,0.03418518975377083
26,1.0,0.01634947583079338,0.9947916865348816,0.032544221729040146
27,0.9991319179534912,0.01770642213523388,0.9739583134651184,0.07492545992136002
28,0.9968171119689941,0.026072749868035316,0.9895833134651184,0.0418296754360199
29,1.0,0.015034840442240238,0.9947916865348816,0.035912469029426575
